city,hotel_name,score,url,longitude_x,latitude_x,description,id_city,latitude_y,longitude_y,Average probability of precipitation,average cloud percentage,average daily temperatures
Mont Saint Michel,Maison proche Mont Saint Michel,10.0,https://www.booking.com/hotel/fr/maison-proche-mont-saint-michel.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiRlOThhY2U4MC05NzIzLTQzNjEtOGMxOS0zNmRkNGZhNTM1ZDnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&nflt=ht_id&srpvid=85cd82009c64018a&srepoch=1666117762&from=searchresults#hotelTmpl,-1.50422189,48.59707061,"Maison proche Mont Saint Michel, a property with a terrace, is located in Beauvoir, 23 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, 45 km from Port of Houle, as well as 48 km from Granville Train Station. Set 5.7 km from Mont Saint Michel Abbey, the property offers a garden and free private parking. This holiday home is fitted with 2 bedrooms, a kitchen with a dishwasher and a microwave, a flat-screen TV, a seating area and 1 bathroom equipped with a shower. Towels and bed linen are featured. The Pointe du Grouin is 49 km from the holiday home, while Champrepus Zoo is 49 km away. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 54 km from Maison proche Mont Saint Michel.    Maison proche Mont Saint Michel has been welcoming Booking.com guests since 16 Oct 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,L'Aurore de la Baie,9.7,https://www.booking.com/hotel/fr/l-39-aurore-de-la-baie.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiRjNGMzODhjOC0yMWZkLTRkZjctYjQzYi02MmNmNTA0NmYwNzTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=51&sr_order=popularity&nflt=ht_id&srpvid=76108200563a0271&srepoch=1666117762&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,-1.45251249,48.60980731,"Providing garden views, L'Aurore de la Baie in Huisnes-sur-Mer provides accommodation, a shared lounge, a garden and a terrace. Both WiFi and private parking are available at the bed and breakfast free of charge. L'Aurore de la Baie offers a seating area with a flat-screen TV and a private bathroom with a hairdryer, free toiletries and shower. Some units also have a kitchen equipped with a dishwasher, a microwave, and a fridge. Guests at the accommodation can enjoy a continental breakfast. Mont Saint Michel Abbey is 12 km from L'Aurore de la Baie, while Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 19 km away. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 57 km from the bed and breakfast.   Couples particularly like the location — they rated it 9.8 for a two-person trip.    L'Aurore de la Baie has been welcoming Booking.com guests since 27 Aug 2020.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,Gîtes le Mont Desclos Saint Michel,9.6,https://www.booking.com/hotel/fr/gites-le-mont-desclos-saint-michel.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiRlOThhY2U4MC05NzIzLTQzNjEtOGMxOS0zNmRkNGZhNTM1ZDnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&nflt=ht_id&srpvid=85cd82009c64018a&srepoch=1666117762&from=searchresults#hotelTmpl,-1.504449,48.596656,"Situated in Beauvoir, 5.7 km from Mont Saint Michel Abbey and 23 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, Gîtes le Mont Desclos Saint Michel features accommodation with free WiFi, air conditioning, a garden and a tennis court. The holiday home is in an area where guests can engage in activities such as hiking, cycling and fishing. The holiday home features 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with garden views. The wellness area at the holiday home is comprised of a hot tub and a sauna. Port of Houle is 45 km from Gîtes le Mont Desclos Saint Michel, while Granville Train Station is 48 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 54 km from the accommodation.    Gîtes le Mont Desclos Saint Michel has been welcoming Booking.com guests since 29 Aug 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,Chambres Les Salles,9.6,https://www.booking.com/hotel/fr/chambres-les-salles.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiRlOThhY2U4MC05NzIzLTQzNjEtOGMxOS0zNmRkNGZhNTM1ZDnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&nflt=ht_id&srpvid=85cd82009c64018a&srepoch=1666117762&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,-1.50143623,48.59502588,"You're eligible for a Genius discount at Chambres Les Salles! To save at this property, all you have to do is sign in. Located in Beauvoir, Chambres Les Salles is 5 km from Mont-Saint-Michel and 25 km from Avranches. It offers individually decorated rooms, a garden and free Wi-Fi access in public areas. Rooms and suites include a flat-screen TV, a desk and a private bathroom with free toiletries, a spa bath or a multi-jet shower. Breakfast can be enjoyed every morning in the dining room. The bus that leads directly to Mont-Saint-Michel stops at Beauvoir-la-Grève, 1 km from the property. Cancale and Saint Malo are both 49 km from the property, and free private parking is available on site.   Couples particularly like the location — they rated it 8.7 for a two-person trip.    Chambres Les Salles has been welcoming Booking.com guests since 28 Dec 2012.  ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,"Maison chaleureuse, spacieuse et familiale",9.6,https://www.booking.com/hotel/fr/maison-chaleureuse-spacieuse-et-familiale.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiRlOThhY2U4MC05NzIzLTQzNjEtOGMxOS0zNmRkNGZhNTM1ZDnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&nflt=ht_id&srpvid=85cd82009c64018a&srepoch=1666117762&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,-1.5052038,48.5965771,"Maison chaleureuse, spacieuse et familiale in Beauvoir features accommodation with free WiFi, 23 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, 44 km from Port of Houle and 48 km from Granville Train Station. Set 5.6 km from Mont Saint Michel Abbey, the property offers a garden and free private parking. The holiday home is fitted with 3 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with garden views. The Pointe du Grouin is 49 km from the holiday home, while Champrepus Zoo is 49 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 54 km from Maison chaleureuse, spacieuse et familiale.    Maison chaleureuse, spacieuse et familiale has been welcoming Booking.com guests since 5 Apr 2022.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,Gîte la Taniere Le jersey,9.5,https://www.booking.com/hotel/fr/gite-la-taniere-le-jersey.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiRjNGMzODhjOC0yMWZkLTRkZjctYjQzYi02MmNmNTA0NmYwNzTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=71&sr_order=popularity&nflt=ht_id&srpvid=76108200563a0271&srepoch=1666117762&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,-1.512572,48.581033,"You're eligible for a Genius discount at Gîte la Taniere Le jersey! To save at this property, all you have to do is sign in. Situated in Moidrey, just 6.9 km from Mont Saint Michel Abbey, Gîte la Taniere Le jersey features accommodation with a bar, a garden and free WiFi. Featuring free private parking, the apartment is in an area where guests can engage in activities such as hiking and fishing. Boasting a DVD player, the apartment has a kitchen with a dishwasher, a microwave and a fridge, a living room, a dining area, 2 bedrooms, and 1 bathroom with a shower. Towels and bed linen are available. A bicycle rental service is available at the apartment. Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 25 km from Gîte la Taniere Le jersey, while Port of Houle is 42 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 52 km from the accommodation.    Gîte la Taniere Le jersey has been welcoming Booking.com guests since 1 Feb 2021.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes),9.4,https://www.booking.com/hotel/fr/residence-beauvoir-le-mont-saint-michel.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiRlOThhY2U4MC05NzIzLTQzNjEtOGMxOS0zNmRkNGZhNTM1ZDnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&nflt=ht_id&srpvid=85cd82009c64018a&srepoch=1666117762&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,-1.50841866,48.59787845,"Situated 4.4 km from Mont Saint Michel Abbey, Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes) offers self-catered holiday homes with access to a terrace, as well as a tennis court and a BBQ facilities. Free WiFi is offered. The units provide views of the garden and come with a seating area, a washing machine, a fully equipped kitchen with a dishwasher, and a private bathroom with a hair dryer. An oven and coffee machine are also available. At the holiday homes guests are welcome to take advantage of an indoor swimming pool. A garden and a children's playground are provided at the property. The nearest airport is Dinard Bretagne Airport, 54 km from the property.   Couples particularly like the location — they rated it 9.8 for a two-person trip.    Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes) has been welcoming Booking.com guests since 4 Feb 2019.  ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,La Jacotière,9.4,https://www.booking.com/hotel/fr/la-jacotia-re.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiQ3ZThhNGY5Yi04YmJhLTRiNWYtYmVmOC1iZmIyOGY0ZGZiNjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id&srpvid=fa5a8200cc850005&srepoch=1666117762&from=searchresults#hotelTmpl,-1.50431424,48.61411436,"Situated in Ardevon, La Jacotière is a B&B set in a renovated farm with a garden and a furnished terrace offering views of the Mont Saint-Michel, just 3 km away. Free Wi-Fi is provided. The rooms offer a TV, a desk and wardrobe and a private bathroom with shower. The studio also has a kitchen equipped with microwave and stove. Breakfast is served in the large dining room. Supermarkets, bars and restaurants serving traditional and international cuisine can be found a 5-minute walk away. At the B&B, guests have access to guides on excursions to do in the area. There are shuttle services nearby to discover the Mont Saint-Michel. Pontorson Train Station is 8.5 km away, while Saint-Malo and Granville are 46 km away.   Couples particularly like the location — they rated it 9.9 for a two-person trip.    La Jacotière has been welcoming Booking.com guests since 16 Apr 2013.  ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,Les Hirondelles de la Baie,9.3,https://www.booking.com/hotel/fr/les-hirondelles-de-la-baie.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiRjNGMzODhjOC0yMWZkLTRkZjctYjQzYi02MmNmNTA0NmYwNzTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=58&sr_order=popularity&nflt=ht_id&srpvid=76108200563a0271&srepoch=1666117762&from=searchresults#hotelTmpl,-1.45410088,48.6734324,"Set in Vains, 36 km from Le Mont Saint Michel, this detached holiday home features a terrace and a garden with a barbecue. The property is 16 km from the beach in Jullouville and boasts views of the garden. There is a dining area and a kitchen complete with a dishwasher and an oven. A flat-screen TV is provided. Other facilities at Les Hirondelles de la Baie include a sun terrace. Granville is 26 km away. A selection of activities are offered in the area, such as horse riding and cycling. Dinard Brittany Airport is 80 km from the property.    Les Hirondelles de la Baie has been welcoming Booking.com guests since 22 Apr 2017.  ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
Mont Saint Michel,Etoile des Grèves,9.3,https://www.booking.com/hotel/fr/etoile-des-greves.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBGcgBD9gBAegBAfgBA4gCAagCA7gCgeG7mgbAAgHSAiQ3ZThhNGY5Yi04YmJhLTRiNWYtYmVmOC1iZmIyOGY0ZGZiNjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=ht_id&srpvid=fa5a8200cc850005&srepoch=1666117762&from=searchresults#hotelTmpl,-1.491524,48.615509,"Situated in Ardevon in the Lower Normandy region, Etoile des Grèves features accommodation with free WiFi and free private parking. There is a fully equipped private bathroom with shower and a hairdryer. Guests at the bed and breakfast can enjoy a continental or a buffet breakfast. Etoile des Grèves offers a terrace. After a day of hiking or cycling, guests can relax in the garden or in the shared lounge area. Mont Saint Michel Abbey is 8.1 km from the accommodation, while Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 21 km from the property. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 57 km from Etoile des Grèves.   Couples particularly like the location — they rated it 9.8 for a two-person trip.    Etoile des Grèves has been welcoming Booking.com guests since 19 Jan 2018.    Distance in property description is calculated using © OpenStreetMap ",1,48.6359541,-1.511459954959514,0.82875,70.875,18.335
